,title,count,artist,url,Duration
0,Aberdeen,4,Cage The Elephant,https://music.youtube.com/watch?v=40fXE4lwB0g,12:52
1,Ain't No Rest for the Wicked,2,Cage The Elephant,https://music.youtube.com/watch?v=e2Z0sON2UPc,05:52
2,Always Something,1,Cage The Elephant,https://music.youtube.com/watch?v=RYEK7Q3GdHA,03:42
3,Back Against the Wall,3,Cage The Elephant,https://music.youtube.com/watch?v=PN6fTTZwBYw,11:27
4,Black Madonna,6,Cage The Elephant,https://music.youtube.com/watch?v=458JYRJM2fc,22:42
5,Broken Boy,2,Cage The Elephant,https://music.youtube.com/watch?v=JYRm1XW3LQY,05:28
6,Cigarette Daydreams,10,Cage The Elephant,https://music.youtube.com/watch?v=pfLzBmuRJMc,34:50
7,Cold Cold Cold,7,Cage The Elephant,https://music.youtube.com/watch?v=VJx7Et20OI0,25:05
8,Come a Little Closer,9,Cage The Elephant,https://music.youtube.com/watch?v=LKJ4j2rYvr0,34:30
9,Dance Dance,1,Cage The Elephant,https://music.youtube.com/watch?v=eQlGM-O6oV0,03:11
10,Halo,3,Cage The Elephant,https://music.youtube.com/watch?v=peaSHTjFM58,08:54
11,How Are You True,1,Cage The Elephant,https://music.youtube.com/watch?v=9nr5GjG2Xr0,04:41
12,Hypocrite,6,Cage The Elephant,https://music.youtube.com/watch?v=1QImcgK5mxs,24:54
13,In One Ear,2,Cage The Elephant,https://music.youtube.com/watch?v=kgRUlDjyzaw,08:04
14,Instant Crush (Unpeeled),1,Cage The Elephant,https://music.youtube.com/watch?v=8l_c6Itvu4s,05:10
15,It's Just Forever,1,Cage The Elephant,https://music.youtube.com/watch?v=xbvd2TFu7Rs,03:31
16,Night Running,5,Cage The Elephant,https://music.youtube.com/watch?v=tKncuTen1uA,17:25
17,Punchin' Bag,1,Cage The Elephant,https://music.youtube.com/watch?v=ynGKkcwZgKg,03:48
18,Ready To Let Go,8,Cage The Elephant,https://music.youtube.com/watch?v=38DzgoMQGeg,25:04
19,Rubber Ball (Unpeeled),1,Cage The Elephant,https://music.youtube.com/watch?v=WdylDvK6KLs,04:05
20,Shake Me Down,5,Cage The Elephant,https://music.youtube.com/watch?v=-jiPLpbx70M,17:40
21,Social Cues,8,Cage The Elephant,https://music.youtube.com/watch?v=YBlUcqOKheg,29:20
22,Spiderhead,5,Cage The Elephant,https://music.youtube.com/watch?v=48xKTEmLVLI,18:35
23,Sweetie Little Jean,2,Cage The Elephant,https://music.youtube.com/watch?v=wgxsl8VhCZ8,07:30
24,Take It or Leave It,1,Cage The Elephant,https://music.youtube.com/watch?v=_uRk98WQtTM,03:28
25,Telescope,2,Cage The Elephant,https://music.youtube.com/watch?v=GouP9Kzy3mo,07:38
26,Telescope (Unpeeled),1,Cage The Elephant,https://music.youtube.com/watch?v=ZvcXU5RGkcE,03:52
27,That's Right,1,Cage The Elephant,https://music.youtube.com/watch?v=gzEF8Hl2Kgg,03:53
28,Tokyo Smoke,2,Cage The Elephant,https://music.youtube.com/watch?v=MElLEireGcQ,06:52
29,Too Late To Say Goodbye,9,Cage The Elephant,https://music.youtube.com/watch?v=yr52aDoU06A,37:57
30,Trouble,10,Cage The Elephant,https://music.youtube.com/watch?v=w41e0aBkoZs,37:40
31,What I'm Becoming,3,Cage The Elephant,https://music.youtube.com/watch?v=OKZ00UvhY6U,11:33
32,Whole Wide World (Unpeeled),1,Cage The Elephant,https://music.youtube.com/watch?v=ZVeAFoT97g4,03:26
33,TOTALS,124,,,454:39
