,title,count,artist,url,Duration,Album
0,About A Girl (Live),1,Nirvana,https://music.youtube.com/watch?v=bPG7uI_WqZE,03:38,Nevermind (Super Deluxe Edition)
1,About A Girl (Remastered),4,Nirvana,https://music.youtube.com/watch?v=JIx2H-plXdU,11:16,Bleach: Deluxe Edition
2,All Apologies,5,Nirvana,https://music.youtube.com/watch?v=1KPiElw6qy8,19:15,In Utero (20th Anniversary Remaster)
3,All Apologies (Live),1,Nirvana,https://music.youtube.com/watch?v=Q_V_-a7cXWA,04:24,In Utero (Super Deluxe Edition)
4,Aneurysm,2,Nirvana,https://music.youtube.com/watch?v=AE3ynTXTm_8,09:12,Incesticide
5,Blew (Remastered),4,Nirvana,https://music.youtube.com/watch?v=7E-KAP359ys,11:40,Bleach: Deluxe Edition
6,Breed (Live At The Paramount),1,Nirvana,https://music.youtube.com/watch?v=YEE5aRUTIfc,03:11,Nevermind (Super Deluxe Edition)
7,Come As You Are,10,Nirvana,https://music.youtube.com/watch?v=f1IdyrhOrGs,36:30,Nevermind (Deluxe Edition)
8,Come As You Are (Live),1,Nirvana,https://music.youtube.com/watch?v=DrSVtOXg4ts,04:14,MTV Unplugged In New York
9,Drain You,1,Nirvana,https://music.youtube.com/watch?v=zonurBhuZzE,03:44,Nevermind (Deluxe Edition)
10,Dumb,2,Nirvana,https://music.youtube.com/watch?v=11G9j9utRCs,05:04,In Utero (20th Anniversary Remaster)
11,Dumb (Live),2,Nirvana,https://music.youtube.com/watch?v=J8IicqaPgDc,05:48,MTV Unplugged In New York
12,Floyd The Barber (Remastered),3,Nirvana,https://music.youtube.com/watch?v=cBm-XeOVIeY,06:57,Bleach: Deluxe Edition
13,Heart-Shaped Box,9,Nirvana,https://music.youtube.com/watch?v=8eGY-4OALgM,42:18,In Utero (20th Anniversary Remaster)
14,In Bloom,3,Nirvana,https://music.youtube.com/watch?v=E6SbPv1Fu80,12:48,Nevermind (Deluxe Edition)
15,Jesus Doesn't Want Me For A Sunbeam (Live),2,Nirvana,https://music.youtube.com/watch?v=vv0qb5oo-cA,09:16,MTV Unplugged In New York
16,Lake Of Fire (Live),3,Nirvana,https://music.youtube.com/watch?v=5udeKRQFt80,08:48,MTV Unplugged In New York
17,Lithium,9,Nirvana,https://music.youtube.com/watch?v=553VogDv5DI,38:42,Nevermind (Deluxe Edition)
18,Lounge Act,1,Nirvana,https://music.youtube.com/watch?v=dlPSGvK8190,02:37,Nevermind (Deluxe Edition)
19,Love Buzz (Remastered),4,Nirvana,https://music.youtube.com/watch?v=ljvhYweP4-0,14:24,Bleach: Deluxe Edition
20,Oh Me (Live),4,Nirvana,https://music.youtube.com/watch?v=2UlDhu9ye00,13:48,MTV Unplugged In New York
21,On A Plain (Live),1,Nirvana,https://music.youtube.com/watch?v=tIfrPWn7hA8,03:45,Nevermind (Super Deluxe Edition)
22,Paper Cuts (Remastered),1,Nirvana,https://music.youtube.com/watch?v=Md4icxT6K60,04:06,papercuts
23,Pennyroyal Tea (Live),1,Nirvana,https://music.youtube.com/watch?v=okC-KNgblEA,03:41,Live And Loud (Live)
24,Plateau (Live),6,Nirvana,https://music.youtube.com/watch?v=fLnRP8SiLvA,21:54,MTV Unplugged In New York
25,Polly,3,Nirvana,https://music.youtube.com/watch?v=J8XzaK43KbE,08:42,Nevermind (Deluxe Edition)
26,Polly (Live),2,Nirvana,https://music.youtube.com/watch?v=IAoMzQlLSms,06:34,MTV Unplugged In New York
27,Rape Me,3,Nirvana,https://music.youtube.com/watch?v=-bv6sOmMslc,08:30,In Utero (20th Anniversary Remaster)
28,Sappy,2,Nirvana,https://music.youtube.com/watch?v=jOg8IblMNK4,06:52,With The Lights Out - Box Set
29,School (Remastered),2,Nirvana,https://music.youtube.com/watch?v=sp86SkWKRQE,05:26,SCHOOL
30,Smells Like Teen Spirit,28,Nirvana,https://music.youtube.com/watch?v=7TDeBi34OtE,140:56,Nevermind (Deluxe Edition)
31,Something In The Way (Live),1,Nirvana,https://music.youtube.com/watch?v=hNT6Q_TBJIE,04:02,MTV Unplugged In New York
32,The Man Who Sold The World (Live),3,Nirvana,https://music.youtube.com/watch?v=pXBvuBSYaxc,13:06,Nirvana
33,Tourette's,1,Nirvana,https://music.youtube.com/watch?v=alP0TiwehM0,01:36,In Utero (20th Anniversary Remaster)
34,Where Did You Sleep Last Night (Live),1,Nirvana,https://music.youtube.com/watch?v=c0wEcIPupNc,05:06,MTV Unplugged In New York
35,You Know You're Right,3,Nirvana,https://music.youtube.com/watch?v=F2zJDTL6dh8,10:51,Nirvana
36,TOTALS,130,,,512:41,
